order_number,customer_key,product_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO43697,10769,20,12/29/2010,1/5/2011,1/10/2011,3578,1,3578
SO43698,17390,9,12/29/2010,1/5/2011,1/10/2011,3400,1,3400
SO43699,14864,9,12/29/2010,1/5/2011,1/10/2011,3400,1,3400
SO43700,3502,41,12/29/2010,1/5/2011,1/10/2011,699,1,699
SO43701,4,9,12/29/2010,1/5/2011,1/10/2011,3400,1,3400
SO43702,16646,16,12/30/2010,1/6/2011,1/11/2011,3578,1,3578
SO43703,5625,20,12/30/2010,1/6/2011,1/11/2011,3578,1,3578
SO43704,6,6,12/30/2010,1/6/2011,1/11/2011,3375,1,3375
SO43705,12,7,12/30/2010,1/6/2011,1/11/2011,3400,1,3400
SO43706,16622,17,12/31/2010,1/7/2011,1/12/2011,3578,1,3578
SO43707,16617,17,12/31/2010,1/7/2011,1/12/2011,3578,1,3578
SO43708,9043,44,12/31/2010,1/7/2011,1/12/2011,699,1,699
SO43709,5352,18,12/31/2010,1/7/2011,1/12/2011,3578,1,3578
SO43710,5518,19,12/31/2010,1/7/2011,1/12/2011,3578,1,3578
SO43711,16607,19,1/1/2011,1/8/2011,1/13/2011,3578,1,3578
SO43712,2514,16,1/1/2011,1/8/2011,1/13/2011,3578,1,3578
SO43713,16602,20,1/2/2011,1/9/2011,1/14/2011,3578,1,3578
SO43714,2592,16,1/2/2011,1/9/2011,1/14/2011,3578,1,3578
SO43715,5484,19,1/2/2011,1/9/2011,1/14/2011,3578,1,3578
SO43716,5530,16,1/2/2011,1/9/2011,1/14/2011,3578,1,3578
SO43717,14250,41,1/2/2011,1/9/2011,1/14/2011,699,1,699
SO43718,16669,16,1/3/2011,1/10/2011,1/15/2011,3578,1,3578
SO43719,16613,17,1/3/2011,1/10/2011,1/15/2011,3578,1,3578
SO43720,2265,16,1/3/2011,1/10/2011,1/15/2011,3578,1,3578
SO43721,2591,20,1/3/2011,1/10/2011,1/15/2011,3578,1,3578
SO43722,2582,17,1/4/2011,1/11/2011,1/16/2011,3578,1,3578
SO43723,3521,39,1/4/2011,1/11/2011,1/16/2011,699,1,699
SO43724,5521,16,1/4/2011,1/11/2011,1/16/2011,3578,1,3578
SO43725,2259,16,1/5/2011,1/12/2011,1/17/2011,3578,1,3578
SO43726,3561,39,1/5/2011,1/12/2011,1/17/2011,699,1,699
